Runs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity ID,Activity Date,Formatted Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
10361968545,"Dec 11, 2023, 7:20:32 AM",11/12/2023 07:20,Morning Run,Run,,1047,2.02,,,FALSE,Haven't gone in a while. Quick one to grt sweating and slowly back into the habit ,HOKA Clifton 8 Blue Cliftons + 100km,activities/10361968545.gpx,,,1047.0,931.0,2024.8,6.058,2.175,8.3,11.4,475.2,482.6,11.1,-0.3,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,16.0,0.0,,1.0,2054.0,,,,,,,,,,,,,,,,19580500.0,,,,,,,,,,0.0,1.934,0.0,,,,,,,,,,,,,,,,,
10450413909,"Dec 28, 2023, 12:40:40 PM",28/12/2023 12:40,Afternoon Run,Run,,2885,5.7,,,FALSE,Shouldn't have eaten ribel before,HOKA Clifton 8 Blue Cliftons + 100km,activities/10450413909.gpx,,,2885.0,2789.0,5704.5,3.726,2.045,15.0,24.1,449.3,464.1,45.5,-0.2,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5753.2,,,,,,,,,,,,,,,,19580500.0,,,,,,,,,,0.0,1.977,4478.7,,,,,,,,,,,,,,,,,
10462994576,"Dec 30, 2023, 3:28:19 PM",30/12/2023 15:28,Afternoon Run,Run,,2322,5.49,,,FALSE,Amazing finish runners high after ~4.5km,HOKA Clifton 8 Blue Cliftons + 100km,activities/10462994576.gpx,,,2322.0,2275.0,5498.7,4.234,2.417,14.8,19.1,449.4,461.6,39.7,-0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5556.8,,,,,,,,,,,,,,,,19580500.0,,,,,,,,,,0.0,2.368,4412.1,,,,,,,,,,,,,,,,,
10733609176,"Feb 10, 2024, 12:51:07 PM",10/02/2024 12:51,Afternoon Run,Run,,1850,3.88,,,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/10733609176.gpx,,,1850.0,1813.0,3882.7,4.642,2.142,16.3,11.4,476.9,484.6,7.8,0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3927.1,,,,,,,,,,,,,,,,19580500.0,,,,,,,,,,0.0,2.099,3715.6,,,,,,,,,,,,,,,,,
12440072124,"Sep 18, 2024, 9:12:30 AM",18/09/2024 09:12,Lunch run käfer,Run,,2753,6,,,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/12440072124.gpx,,,2753.0,2687.0,6006.8,5.124,2.235,85.8,85.8,451.1,530.8,23.0,0.0,,,,,,,,,,,,,,,,,,7.0,,,,,0.0,85.0,0.0,,1.0,6285.9,1726649984.0,2.0,13.4,13.6,8.9,0.74,1020.3,2.4,5.3,66.0,0.0,1726636032.0,1726680704.0,0.5,,19580500.0,0.0,1.0,0.45,28927.0,3.0,,,,,0.0,2.182,1651.1,,,,,,,,,2.339,,,,,,,,
12464647288,"Sep 21, 2024, 8:03:20 AM",21/09/2024 08:03,Morning Run,Run,First garmin run,4027,7.27,,,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/13289570882.fit.gz,,,4027.0,3956.0,7276.6,3.205,1.839,93.3,307.0,451.0,530.8,19.9,0.0,,,114.0,70.0,,,,,758.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,7573.9,1726905600.0,1.0,13.8,17.1,11.1,0.84,1021.2,0.4,1.8,15.0,0.0,1726895488.0,1726939520.0,0.625,,19580500.0,0.0,1.0,0.18,20716.0,2.0,,,,,0.0,1.807,2993.1,,,,9342.0,,,,,1.915,,,,,,,,
12473516721,"Sep 22, 2024, 8:32:53 AM",22/09/2024 08:32,Morning Run,Run,,3039,5.7,168.0,58,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/13299089862.fit.gz,,,3039.0,3020.0,5707.2,3.312,1.89,124.8,262.0,463.3,568.9,9.6,0.1,,,84.0,71.0,168.0,147.0,,,487.0,,,58.0,,,,,,,,,,,,,0.0,,1.0,6048.4,1726992000.0,3.0,13.7,14.4,10.4,0.8,1017.5,0.3,1.8,356.0,0.0,1726982016.0,1727025792.0,0.625,,19580500.0,0.0,1.0,0.88,19177.0,2.0,,,,,0.0,1.878,4022.7,,,,7244.0,,,,,2.003,,,,,,,,
12493899530,"Sep 24, 2024, 4:02:24 PM",24/09/2024 16:02,Evening Run,Run,,4508,10.92,171.0,127,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/13320842256.fit.gz,,,4508.0,4503.0,10926.3,3.596,2.426,32.4,161.0,452.1,468.9,22.0,0.1,,,80.0,75.0,171.0,156.0,,,836.0,,,127.0,,,,,,,,,,,,,0.0,,1.0,11013.2,1727193600.0,3.0,15.4,16.1,11.5,0.78,1010.7,0.7,2.3,356.0,0.5,1727154688.0,1727198080.0,0.625,,19580500.0,0.76,5.0,0.83,17765.0,0.0,,,,,0.0,2.424,2621.6,,,,11256.0,,,,,2.446,,,,,,,,
12509189057,"Sep 26, 2024, 2:31:31 PM",26/09/2024 14:31,Afternoon Run in the rain,Run,Jumped in puddles to make a big splash,2949,6.13,164.0,62,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/13337119506.fit.gz,,,2949.0,2927.0,6138.9,3.315,2.097,13.4,192.0,476.7,484.3,4.7,-0.1,,,88.0,70.0,164.0,148.0,,,471.0,,,62.0,,,,,,,,,,,0.0,,0.0,,1.0,6155.9,1727359232.0,3.0,17.6,17.7,15.3,0.86,1001.6,1.2,2.6,260.0,1.1,1727327872.0,1727370880.0,0.875,,19580500.0,0.9,5.0,0.98,5018.0,2.0,,,,,0.0,2.082,5739.5,,,,6766.0,,,,,2.103,,,,,,,,
12534827222,"Sep 29, 2024, 4:22:07 PM",29/09/2024 16:22,Evening Run,Run,,3260,8.31,176.0,138,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/13364465189.fit.gz,,,3260.0,3255.0,8315.6,3.46,2.555,25.6,172.0,476.4,484.3,9.2,0.1,,,81.0,75.0,176.0,166.0,,,641.0,,,138.0,,,,,,,,,,,,,0.0,,1.0,8377.9,1727625600.0,3.0,13.9,13.4,7.7,0.66,1022.0,1.6,3.8,56.0,0.0,1727587328.0,1727629696.0,0.875,,19580500.0,0.0,1.0,0.89,32900.0,0.0,,,,,0.0,2.551,8183.0,,,,8102.0,,,,,2.574,,,,,,,,
12574075371,"Oct 4, 2024, 4:30:19 PM",04/10/2024 16:30,Evening Run - HRM Test,Run,,2960,6.37,162.0,51,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/13406477327.fit.gz,,,2960.0,2960.0,6372.2,4.137,2.153,88.7,195.0,474.1,539.9,9.0,0.0,,,88.0,72.0,162.0,143.0,,,496.0,,,51.0,,,,,,,,,,,0.0,,0.0,,1.0,6548.9,1728057600.0,3.0,10.8,9.7,7.8,0.82,1016.8,2.0,5.2,38.0,0.4,1728019712.0,1728061184.0,0.125,,19580500.0,0.87,5.0,0.95,10211.0,0.0,,,,,0.0,2.153,919.9,,,,7100.0,,,,,2.212,,,,,,,,
12582643078,"Oct 5, 2024, 4:20:36 PM",05/10/2024 16:20,Evening Run,Run,,3180,7.02,159.0,52,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/13415661935.fit.gz,,,3180.0,3170.0,7023.9,3.133,2.216,37.0,199.0,451.0,480.6,6.0,0.0,,,84.0,72.0,159.0,144.0,,,506.0,,,52.0,,,,,,,,,,,,,0.0,,1.0,7061.1,1728144000.0,1.0,12.7,11.9,7.3,0.7,1014.7,2.8,6.7,53.0,0.0,1728106240.0,1728147456.0,0.125,,19580500.0,0.28,5.0,0.16,33006.0,0.0,,,,,0.0,2.209,0.0,,,,7626.0,,,,,2.227,,,,,,,,
12599512831,"Oct 7, 2024, 4:55:49 PM",07/10/2024 16:55,Evening Run,Run,,1827,4.2,159.0,40,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/13432921925.fit.gz,,,1827.0,1827.0,4200.2,3.026,2.299,20.5,79.0,474.2,489.4,6.7,0.0,,,87.0,72.0,159.0,149.0,,,315.0,,,40.0,,,,,,,,,,,,,0.0,,1.0,4238.2,1728316800.0,3.0,18.0,18.5,14.3,0.79,1005.5,1.1,2.4,26.0,0.0,1728279168.0,1728320000.0,0.125,,19580500.0,0.46,5.0,0.9,31263.0,0.0,,,,,0.0,2.299,3628.3,,,,4388.0,,,,,2.32,,,,,,,,
12635245830,"Oct 12, 2024, 8:45:06 AM",12/10/2024 08:45,Morning Run,Run,Continuous zone 2. Bit of a hill but lovely view.,2703,6.24,156.0,50,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/13471115891.fit.gz,,,2703.0,2703.0,6243.9,4.27,2.31,86.2,275.0,472.6,540.4,9.5,0.0,,,98.0,76.0,156.0,145.0,,,448.0,,,50.0,,,,,,,,,,,0.0,,0.0,,1.0,6427.0,1728720000.0,3.0,7.6,8.4,5.8,0.88,1016.6,0.6,2.2,33.0,0.0,1728711680.0,1728751360.0,0.375,,19580500.0,0.45,5.0,0.91,16753.0,1.0,,,,,0.0,2.31,740.5,,,,6828.0,,,,,2.378,,,,,,,,
12655670150,"Oct 14, 2024, 5:39:44 PM",14/10/2024 17:39,Evening Run,Run,,2289,5.08,159.0,46,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/13493189818.fit.gz,,,2289.0,2284.0,5087.8,3.718,2.228,78.8,137.0,474.0,540.3,9.6,0.0,,,92.0,76.0,159.0,147.0,,,387.0,,,46.0,,,,,,,,,,,,,0.0,,1.0,5243.1,1728925184.0,2.0,15.6,15.3,12.6,0.82,1018.0,1.5,3.5,188.0,0.1,1728884608.0,1728924032.0,0.375,,19580500.0,0.32,5.0,0.41,28011.0,0.0,,,,,0.0,2.223,19.0,,,,5738.0,,,,,2.296,,,,,,,,
12717450432,"Oct 22, 2024, 2:09:14 PM",22/10/2024 14:09,Easy Run,Run,Keeping it slow and low. Tibialis will thank me later,1208,2.54,153.0,11,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/13559476874.fit.gz,,,1208.0,1202.0,2546.1,3.594,2.118,48.3,64.0,473.5,520.0,20.4,1.5,,,80.0,73.0,153.0,137.0,,,190.0,,,11.0,,,,,,,,,,,0.0,,0.0,,1.0,2751.7,1729605632.0,2.0,18.5,19.3,13.8,0.74,1028.2,1.5,3.7,281.0,0.0,1729576448.0,1729614336.0,0.625,,19580500.0,0.59,5.0,0.61,24263.0,1.0,,,,,0.0,2.108,1402.5,,,,2932.0,,,,,2.289,,,,,,,,
12728388109,"Oct 23, 2024, 6:58:17 PM",23/10/2024 18:58,Evening Easy Run,Run,,1241,2.86,151.0,12,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/13571149084.fit.gz,,,1241.0,1236.0,2866.2,3.726,2.319,18.1,116.0,466.8,485.2,4.3,0.0,,,81.0,76.0,151.0,138.0,,,204.0,,,12.0,,,,,,,,,,,0.0,,0.0,,1.0,2879.0,1729706368.0,3.0,11.8,11.2,9.4,0.85,1030.1,2.1,5.5,41.0,0.0,1729662976.0,1729700608.0,0.625,,19580500.0,0.69,5.0,0.94,24918.0,0.0,,,,,0.0,2.31,0.0,,,,3118.0,,,,,2.329,,,,,,,,
12736022078,"Oct 24, 2024, 5:57:21 PM",24/10/2024 17:57,Evening Run,Run,,1633,3.77,180.0,25,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/13579322306.fit.gz,,,1633.0,1627.0,3769.8,4.667,2.317,8.6,89.0,459.7,478.0,10.8,-0.3,,,92.0,78.0,180.0,145.0,,,272.0,,,25.0,,,,,,,,,,,,,0.0,,1.0,3756.0,1729789184.0,1.0,14.3,14.0,10.5,0.78,1023.2,0.8,1.7,98.0,0.0,1729749504.0,1729786880.0,0.75,,19580500.0,0.0,1.0,0.12,32300.0,0.0,,,,,0.0,2.309,0.0,,,,4212.0,,,,,2.309,,,,,,,,
12747346844,"Oct 26, 2024, 9:41:36 AM",26/10/2024 09:41,Lunch Run,Run,,1515,3.53,152.0,19,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/13591583668.fit.gz,,,1515.0,1513.0,3532.3,3.617,2.335,29.5,121.0,464.3,483.4,14.0,0.0,,,91.0,77.0,152.0,141.0,,,256.0,,,19.0,,,,,,,,,,,,,0.0,,1.0,3579.3,1729933184.0,3.0,11.4,11.5,9.5,0.88,1018.9,1.2,3.4,45.0,0.0,1729922432.0,1729959552.0,0.875,,19580500.0,0.35,5.0,0.85,8718.0,1.0,,,,,0.0,2.332,136.3,,,,3876.0,,,,,2.366,,,,,,,,
